frames,Confidence,Ymin,Xmin,Ymax,Xmax
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,0,0,0,0,0
58,0,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,0
61,0,0,0,0,0
62,0,0,0,0,0
63,53,1,349,480,559
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,68,1,34,466,315
71,74,1,16,466,296
72,56,10,20,474,225
73,62,14,18,480,195
73,56,1,259,479,423
74,56,1,259,479,423
75,56,1,259,479,423
76,66,1,202,466,443
76,56,1,259,479,423
77,56,1,259,479,423
78,53,1,169,475,398
79,59,1,78,462,334
80,0,0,0,0,0
81,62,1,182,475,406
82,53,1,214,466,426
83,71,1,215,470,452
84,0,0,0,0,0
85,0,0,0,0,0
86,0,0,0,0,0
87,56,1,254,470,491
88,0,0,0,0,0
89,62,1,8,476,201
90,68,5,12,480,206
91,62,9,16,476,228
92,62,10,29,474,237
93,66,1,35,480,278
94,74,1,55,480,311
95,62,1,81,478,328
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,62,1,212,478,417
113,59,6,173,478,389
114,66,10,155,474,396
115,0,0,0,0,0
116,68,1,227,471,438
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,59,1,47,480,245
126,0,0,0,0,0
127,0,0,0,0,0
128,0,0,0,0,0
129,0,0,0,0,0
130,0,0,0,0,0
131,0,0,0,0,0
132,62,1,408,476,601
132,53,1,46,466,317
133,53,1,382,480,562
134,66,1,437,476,611
135,0,0,0,0,0
136,56,1,456,476,617
137,0,0,0,0,0
138,0,0,0,0,0
139,0,0,0,0,0
140,68,2,219,458,447
141,0,0,0,0,0
142,0,0,0,0,0
143,0,0,0,0,0
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,0
147,0,0,0,0,0
148,0,0,0,0,0
149,0,0,0,0,0
150,0,0,0,0,0
151,0,0,0,0,0
152,0,0,0,0,0
153,0,0,0,0,0
154,0,0,0,0,0
155,0,0,0,0,0
156,0,0,0,0,0
157,0,0,0,0,0
158,0,0,0,0,0
159,0,0,0,0,0
160,0,0,0,0,0
161,0,0,0,0,0
162,0,0,0,0,0
163,0,0,0,0,0
164,0,0,0,0,0
165,0,0,0,0,0
166,0,0,0,0,0
167,0,0,0,0,0
168,0,0,0,0,0
169,0,0,0,0,0
170,0,0,0,0,0
171,0,0,0,0,0
172,0,0,0,0,0
173,0,0,0,0,0
174,0,0,0,0,0
175,0,0,0,0,0
176,0,0,0,0,0
177,0,0,0,0,0
178,0,0,0,0,0
179,0,0,0,0,0
180,0,0,0,0,0
181,0,0,0,0,0
182,0,0,0,0,0
183,0,0,0,0,0
184,0,0,0,0,0
185,0,0,0,0,0
186,0,0,0,0,0
187,0,0,0,0,0
188,0,0,0,0,0
189,0,0,0,0,0
190,0,0,0,0,0
191,0,0,0,0,0
192,0,0,0,0,0
193,0,0,0,0,0
194,0,0,0,0,0
195,0,0,0,0,0
196,0,0,0,0,0
197,0,0,0,0,0
198,0,0,0,0,0
199,0,0,0,0,0
200,53,1,18,471,208
201,56,1,29,475,242
202,56,1,20,471,232
203,0,0,0,0,0
204,0,0,0,0,0
205,0,0,0,0,0
206,0,0,0,0,0
207,0,0,0,0,0
208,0,0,0,0,0
209,0,0,0,0,0
210,0,0,0,0,0
211,0,0,0,0,0
212,0,0,0,0,0
213,59,1,173,478,414
214,59,1,174,478,398
215,53,1,163,478,409
216,0,0,0,0,0
217,59,1,88,471,284
218,0,0,0,0,0
219,0,0,0,0,0
220,62,1,28,471,232
221,66,1,22,471,222
222,62,1,19,471,212
223,53,1,17,471,197
224,0,0,0,0,0
225,0,0,0,0,0
226,0,0,0,0,0
227,0,0,0,0,0
228,0,0,0,0,0
229,0,0,0,0,0
230,0,0,0,0,0
231,0,0,0,0,0
232,0,0,0,0,0
233,0,0,0,0,0
234,0,0,0,0,0
235,0,0,0,0,0
236,0,0,0,0,0
237,0,0,0,0,0
238,0,0,0,0,0
239,0,0,0,0,0
240,0,0,0,0,0
241,0,0,0,0,0
242,0,0,0,0,0
243,0,0,0,0,0
244,62,6,215,470,452
245,71,6,200,470,424
246,76,14,192,478,433
247,0,0,0,0,0
248,53,14,183,470,415
249,0,0,0,0,0
250,0,0,0,0,0
251,0,0,0,0,0
252,66,1,493,470,628
253,66,1,500,470,627
254,66,1,486,470,631
255,56,1,483,474,628
256,0,0,0,0,0
257,59,1,492,478,625
258,62,1,490,470,627
258,56,1,189,477,433
259,0,0,0,0,0
260,68,1,486,462,628
261,56,1,462,476,615
262,0,0,0,0,0
263,0,0,0,0,0
264,0,0,0,0,0
265,53,1,60,466,326
266,66,1,436,476,603
267,66,5,417,480,597
267,56,1,70,470,309
268,66,1,371,477,567
269,59,1,339,480,542
269,59,1,58,469,305
270,0,0,0,0,0
271,0,0,0,0,0
272,0,0,0,0,0
273,53,1,445,467,598
274,0,0,0,0,0
275,56,1,490,446,611
276,0,0,0,0,0
277,0,0,0,0,0
278,0,0,0,0,0
279,0,0,0,0,0
280,0,0,0,0,0
281,0,0,0,0,0
282,0,0,0,0,0
283,0,0,0,0,0
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,0,0,0,0,0
288,0,0,0,0,0
289,0,0,0,0,0
290,0,0,0,0,0
291,0,0,0,0,0
292,0,0,0,0,0
293,0,0,0,0,0
294,53,1,44,478,238
295,0,0,0,0,0
296,56,1,25,477,153
297,56,1,236,478,415
298,0,0,0,0,0
299,0,0,0,0,0
300,56,1,393,476,608
301,68,1,386,476,597
302,53,1,427,476,586
303,66,1,421,476,605
304,66,1,450,476,615
305,62,1,464,476,622
306,0,0,0,0,0
307,0,0,0,0,0
308,0,0,0,0,0
309,66,1,494,480,636
310,0,0,0,0,0
311,0,0,0,0,0
312,0,0,0,0,0
313,53,1,158,454,403
314,56,1,488,480,633
315,56,1,495,480,629
316,56,1,491,480,636
317,56,1,497,437,610
318,62,1,485,470,632
319,53,1,494,444,611
320,0,0,0,0,0
321,0,0,0,0,0
322,53,1,471,471,624
323,0,0,0,0,0
324,53,1,483,427,604
325,0,0,0,0,0
326,0,0,0,0,0
327,59,1,487,478,634
328,0,0,0,0,0
329,0,0,0,0,0
330,0,0,0,0,0
331,0,0,0,0,0
332,0,0,0,0,0
333,0,0,0,0,0
334,0,0,0,0,0
335,0,0,0,0,0
336,0,0,0,0,0
337,53,2,245,458,469
338,0,0,0,0,0
339,0,0,0,0,0
340,0,0,0,0,0
341,0,0,0,0,0
342,0,0,0,0,0
343,0,0,0,0,0
344,0,0,0,0,0
345,0,0,0,0,0
346,0,0,0,0,0
347,0,0,0,0,0
348,0,0,0,0,0
349,59,1,245,462,495
350,0,0,0,0,0
351,0,0,0,0,0
352,0,0,0,0,0
353,0,0,0,0,0
354,0,0,0,0,0
355,0,0,0,0,0
356,0,0,0,0,0
357,0,0,0,0,0
358,0,0,0,0,0
359,0,0,0,0,0
360,0,0,0,0,0
361,0,0,0,0,0
362,0,0,0,0,0
363,0,0,0,0,0
364,0,0,0,0,0
365,62,1,191,458,423
366,53,6,201,470,413
367,0,0,0,0,0
368,0,0,0,0,0
369,71,1,438,476,618
370,0,0,0,0,0
371,0,0,0,0,0
372,59,1,249,480,444
373,62,1,201,475,408
